Feature name	Level_1	Level_2	Description	
MF0063	amino acid degradation	positively charged amino acid degradation	arginine degradation (ornithine decarboxylase pathway)	
MF0009	amino acid degradation	aromatic amino acid degradation	tryptophan degradation	
MF0084	central metabolism	energy metabolism	pyruvate:ferredoxin oxidoreductase	
MF0060	carbohydrate degradation	monosaccharide degradation	ribose degradation	
MF0129	protection against oxidative stress	catalase	catalase	
MF0030	amino acid degradation	polar, uncharged amino acid degradation	threonine degradation (formate pathway)	
MF0016	amino acid degradation	nonpolar, aliphatic amino acid degradation	glycine degradation	
MF0012	amino acid degradation	negatively charged amino acid degradation	aspartate degradation (fumarate pathway)	
MF0014	amino acid degradation	negatively charged amino acid degradation	glutamate degradation (4-aminobutanoate pathway)	
MF0055	carbohydrate degradation	monosaccharide degradation	xylose degradation	
MF0082	central metabolism	energy metabolism	pentose phosphate pathway (oxidative branch)	
MF0085	central metabolism	energy metabolism	pyruvate:formate lyase	
MF0011	amino acid degradation	negatively charged amino acid degradation	aspartate degradation (oxaloacetate pathway)	
MF0094	gas metabolism	hydrogen metabolism	hydrogen metabolism	
MF0039	amino acid degradation	positively charged amino acid degradation	lysine fermentation to acetate and butyrate (3,6-diaminohexanoate pathway)	
MF0113	organic acid metabolism	acetate metabolism	acetyl-CoA to acetate	
MF0083	central metabolism	energy metabolism	pyruvate dehydrogenase complex	
MF0044	bile acid degradation	glycocholate degradation	glycocholate degradation	
MF0032	amino acid degradation	polar, uncharged amino acid degradation	glutamine degradation (ammonia pathway)	
MF0040	amino acid degradation	positively charged amino acid degradation	lysine degradation (cadaverine pathway)	
MF0131	protection against oxidative stress	superoxide dismutase	superoxide dismutase	
MF0066	carbohydrate degradation	storage	glycogen metabolism	
MF0024	amino acid degradation	nonpolar, aliphatic amino acid degradation	methionine degradation (mercaptan pathway)	
MF0059	carbohydrate degradation	monosaccharide degradation	rhamnose degradation	
MF0018	amino acid degradation	nonpolar, aliphatic amino acid degradation	proline degradation (glutamate pathway)	
MF0050	carbohydrate degradation	disaccharide degradation	melibiose degradation	
MF0058	carbohydrate degradation	monosaccharide degradation	fructose degradation	
MF0121	organic acid metabolism	propionate metabolism	propionate production (acrylate pathway)	
MF0086	central metabolism	energy metabolism	TCA cycle	
MF0074	carbohydrate degradation	sugar alcohol degradation	mannitol degradation	
MF0104	inorganic nutrient metabolism	nitrogen	nitrate reduction (dissimilatory)	
MF0052	carbohydrate degradation	glycosaminoglycan degradation	chondroitin sulfate and dermatan sulfate degradation	
MF0035	amino acid degradation	positively charged amino acid degradation	arginine degradation (agmatine deiminase pathway)	
MF0033	amino acid degradation	polar, uncharged amino acid degradation	cysteine degradation (mercaptopyruvate pathway)	
MF0127	organic acid metabolism	succinate metabolism	Succinate production	
MF0056	carbohydrate degradation	monosaccharide degradation	galactose degradation (Leloir pathway)	
MF0109	lipid degradation	glycerol degradation	glycerol degradation (glycerol kinase pathway)	
